Date,Close,Volume,Open,High,Low
05/06/2021,46.63,34271520,46.11,46.69,45.7
05/05/2021,45.94,13142960,45.93,46.2,45.47
05/04/2021,45.74,26137590,45.26,45.835,44.67
05/03/2021,45.48,16522710,45.45,45.65,45.07
04/30/2021,45.05,34176550,45.8,46.015,44.86
04/29/2021,46.24,26880720,45.62,46.39,45.52
04/28/2021,45.08,20795100,45.15,45.665,44.93
04/27/2021,45.09,29130250,44.39,45.22,44.2
04/26/2021,44.14,24606570,44.13,44.68,43.99
04/23/2021,43.86,28031470,42.71,44.18,42.63
04/22/2021,42.7,24638340,43.26,43.52,42.68
04/21/2021,43.24,27258020,42.24,43.355,41.765
04/20/2021,42.54,29734020,43.4,43.4,42.35
04/19/2021,43.88,39124190,43.61,44.4,43.38
04/16/2021,43.84,57060180,42.67,44.13,42.58
04/15/2021,42.24,44146310,42.1,42.26,41.03
04/14/2021,41.99,64926940,39.7,42.1799,39.06
04/13/2021,39.79,29333230,40.5,40.51,39.7
04/12/2021,40.77,21093010,40.46,40.89,40.4
04/09/2021,40.5,28363570,40.34,40.79,40.25
04/08/2021,40.03,20845030,39.87,40.2,39.33
04/07/2021,39.99,19393220,39.84,40.09,39.63
04/06/2021,39.85,20969590,39.42,39.9,39.255
04/05/2021,39.48,21293400,40.03,40.33,39.32
04/01/2021,39.63,22706930,38.96,39.65,38.92
03/31/2021,39.07,25832770,39.27,39.63,38.92
03/30/2021,39.39,36134170,38.54,40.08,38.47
03/29/2021,38.44,38426860,38.58,39.355,37.9
03/26/2021,39.76,29156070,39.9,40.23,39.17
03/25/2021,39.3,28773000,37.97,39.36,37.78
03/24/2021,38.12,24201720,38.36,39.02,38.11
03/23/2021,38.24,32494370,38.5,39.0466,38.05
03/22/2021,38.97,32206040,39.28,39.31,38.62
03/19/2021,39.63,60291840,39.94,40.065,39.22
03/18/2021,40.81,57420560,40.15,41.54,40.15
03/17/2021,39.84,33537040,39.68,40.435,39.205
03/16/2021,39.35,24668310,39.37,39.49,38.72
03/15/2021,39.7,25902220,40.07,40.23,39.17
03/12/2021,39.97,28754040,39.5,40.02,39.42
03/11/2021,38.88,30598730,39.22,39.59,38.61
03/10/2021,39.58,38437220,38.68,39.7,38.28
03/09/2021,38.13,35854110,38.17,38.8,37.48
03/08/2021,38.67,38255220,38.13,38.875,37.7699
03/05/2021,37.43,34558290,37.87,38.12,36.34
03/04/2021,37.16,42932480,37.62,38,36.36
03/03/2021,37.69,35365100,37.35,38.66,37.35
03/02/2021,37.14,19701160,37.15,37.45,36.99
03/01/2021,37.09,28066090,37.11,37.42,36.74
02/26/2021,36.17,39467960,37.1,37.41,35.93
02/25/2021,37.56,37233060,38.68,38.68,37.3
02/24/2021,38.29,42764310,37.24,38.34,37.14
02/23/2021,37.14,36792510,37.59,37.77,36.605
02/22/2021,37.26,34689970,37.675,37.925,37.1
02/19/2021,37.83,39022960,37.13,37.85,37.03
02/18/2021,36.96,43334710,36.44,37.357,36.18
02/17/2021,36.59,80326750,34.34,37.45,34.025
02/16/2021,34.79,36468250,34.07,34.93,34
02/12/2021,33.53,34473050,32.65,33.6201,32.65
02/11/2021,32.72,22393220,33.2,33.34,32.37
02/10/2021,33.2,22687030,33.48,33.69,33.09
02/09/2021,33.26,23539760,33.21,33.405,32.91
02/08/2021,33.4,29223800,32.78,33.57,30.77
02/05/2021,32.56,24908130,33,33.185,32.51
02/04/2021,32.66,30825420,31.865,32.85,31.8
02/03/2021,31.7,28507780,30.72,31.77,30.61
02/02/2021,30.75,25302880,30.46,31.19,30.38
02/01/2021,29.99,23713450,30.14,30.22,29.68
01/29/2021,29.88,39500820,30.77,31.19,29.82
01/28/2021,30.81,28770180,30.525,31.05,30.31
01/27/2021,30.17,45074950,30.92,31.03,29.92
01/26/2021,31.38,28026460,32.49,32.53,31.36
01/25/2021,32.24,28515510,31.88,32.35,31.615
01/22/2021,31.9,24476090,31.34,32.06,31.15
01/21/2021,32,28276010,32.32,32.43,31.92
01/20/2021,32.46,29949850,32.78,32.83,32.3
01/19/2021,32.63,43806830,32.41,33.04,32.28
